id,review_text,PhyID,platform
2056045,"Modern new office that has an esthetician on site. I like getting my facials done at these places because they use higher quality products.The person that did my facial was Julie...she did such a great job, really took her time and was very knowledgeable on skin care. I am definitely coming back! I made an appointment with the dermatologist in Nov for my eczema..will let you guys know how that goes.",100470836,Yelp
2501833,"Dr. Castañeda is by far the BEST Orthopedic Surgeon in the state. I'm a complicated case and she also has to fix what another OS messed up. In addition to her being a genius surgeon, she also has an incredible bedside manner. She really takes the time to understand  your case and will talk things through with you. She won't jump into a surgery unless it's absolutely necessary. I wouldn't go to anyone else.",100572544,HG
3873814,Been a patient for over 10 years.  Stays with me on a medicine change and works with me.  Office staff is excellent and if you need to see him in a crisis will get you in.  Dr. Forsythe is very intelligent and is good on over options with you.  Highly recommend.,100885757,HG
1998834,"Staff treats you like a third class citizen and bashes each other to clients.Nursing staff makes many promises and when they can't fulfill them blames them on patient.When you trust your and your child's health on someone you usually hope they will follow through.Using this provider was one of the biggest mistake I could have made for my health.All wait times averaged over an hour, and provider is not available for questions past your appointment from my experience.",100459145,RateMD
371307,"If you have a special needs child, do not see this physician!!  The amount of time spent on my child was about 7 minutes and he turned out to have pneumonia! After calllng for a follow up visit the office sent us to the ER because authorization for an antibiotic shot would take "" too long"".   Never in my life been so disgusted with health care!",100082043,HG
3874385,"I have been a pt since 2016, at first I was happy with Dr Lerner, but after about a year they quit e-scripts, because, according  to them, Medicare wouldn't let them  send scripts by fax anymore, so you had to come pick up your Rx. For which they charged a ""short office visit"" did not see anyone except office personnel,  no doc no nurse practitioner....or, for a small fee they would fax your Rx. Started out at $40, later they charged a one-time fee for 6 months, but since you had to have an appt every other month, still too much, especially since they said they weren't allowed by Medicare to do it at all. Then I had to change a couple of appts, I did call to change them and ask about my balance and how much I needed to pay to be seen again, and someone was supposed to call me back,no one ever called back, and I call today and I have been ""discharged from the practice "" for missing appointments. I feel like they do not care about me or my pain, only about the money they can get.",100885833,HG
235083,"Not going back. Not helpful in explaining things. Difficult to reach, Glad I saw another doctor.",100049736,HG
3552757,"Been with this office for 20+ years. Besides misdiagnosing, Dr Shah and his staff take several days to get back to you when dealing with serious health issues. And at times, never to return your messages. Ever since Dr. Edmunds retired, this office, doctors and staff has not been the same. Staff is rude, unprofessional. Sadly our family will never return.",100812364,Vitals
2908812,"I've been going to Kenton since my primary physician retired a few years ago.  He's always personable and polite. Whenever I have questions he is more than willing to answer my questions.  He's always willing to explain the ""why"" of the treatment as well. I honestly have no complaints.  I'm a huge fan of constructive criticism - but I have none for Kenton.  He's the ideal doctor.",100667094,HG
3234016,"Dr. Patel is one of the most compassionate and caring Dr.'s I have visited in a very long time. That means a tremendous amount to me that my Doctor wants the very best health care for me! The amazing thing is he showed the very same hospitality, compassion and care for each of his patients as they walked in. I could really feel and see God's love in action through him and his excellent staff! Thank God for you Dr. Patel and your amazing staff!",100740181,HG
926521,Dr. Casey is just awesome!!! Her knowledge and care for her patients and their parents is bar none. She's easy to reach and easy to talk to. Her staff is just as knowledgeable and pleasant as she! What a wonderful experience everytime I visit. Great Dr.-great staff!!!,100212028,Vitals
3887307,"Dr. Ghassemi was excellent! Went in for wisdom teeth removal (had all 4 extracted) he went over the procedure in depth, answered all of my questions and made me feel comfortable before the procedure. The staff was also very kind! Can't remember all of their names but they were all so nice and made me feel welcomed. Nora in the front office is super sweet and helpful. Will recommend to everyone I know!",100888527,Yelp
2965041,For years I've been on ambien and she was successfully able to wean me off it and helped me find alternative ways to sleep. She's helped me through some really dark times. Even after hours she was there for me.,100680396,Vitals
3730238,"Dr Mannas is the best neurosurgeon in Lubbock, TX!!! He is excellent in his skills as a surgeon and will spend the time to explain in details to his patients their condition and how he is going to do the surgery to help them with their problem. I just learned that the nurses called him ""the doctor with magic hands"" because he heals the patients!",100851144,Vitals
1978407,Dr Sonnanstine truly cares about your care.  He is kind and respectful.  He never rushes and makes sure he answers all your questions.  He is a genuinely kind person and wonderful surgeon.  I had Gastric Sleeve Surgery with ZERO issues.  I am so glad I had Dr. Sonnanstine as my surgeon.,100454285,Vitals
2031424,Been using Dr. B for 30 years and he is the ultimate professional while at the same time having a great sense of humor.  Just to give you a flavor of how I feel about Dr. B I moved to FL over a year ago and still go to him for my required quarterly check ups!,100466825,HG
3630352,Dr. Krivinko diagnosed and helped me get through s scarey condition.  I am grateful to him for his abilities as a doctor and his level of true empathy for me as a patient.  I highly recommend him.,100828087,Vitals
4556283,feel much better.,101045404,HG
2063824,"I have recommended a lot of people to her. She is very thorough, she found my parathyroid and explained it to me so I wouldn't be afraid. She takes as much time as I need!!! She is the best doctor I ever had. My surgeon at Cleveland clinic gave her a Hugh compliment. He was impressed she did all the correct tests! I feel in great hands! One of the best around here, I have a lot to compare from. It's my health and my responsibility.",100473599,HG
965071,Dr Sanchez-Fortis and staff were very professional and helpful. Doctor answered all my questions and took the time to explain everything to me and my family.,100222333,HG
2026858,"I'm a service connected disabled veteran.  Ever since this doctor has been my care provider, my medical care is the worst I've ever received.",100465792,Vitals
4066860,"Don&#39;t even think about using this office. Had a family member use this office. The staff is rude and uncaring. Wonder if the Dr is aware of how her office is being run. Just pray you don&#39;t have a problem, because if you do, you don&#39;t get answer response.",100933822,Yelp
4654022,Dr. Swengros was a great doctor 5 years ago but now he is a robot.   Want's to pawn off my concerns to other physicians that I am currently seeing. He main nurse is rude and unfriendly.  I am currently looking for another non - Watson Clinic doctor.,101064060,HG
1331997,I've been a patient for over 10 yrs I'd highly recommend him.,100302581,Vitals
3744912,I love Dr Gohill!! She is like a walking medical dictionary and google search all in one!  She always listens and takes everything I say seriously.  I highly recommend her!!,100856771,HG
4545884,"This was my first visit to Dr. Bement and she was excellent!  She was caring and spent time with me.  I felt like she really cared about me and the issues I am having.  I also liked the way she repeated everything back that we had talked about in the appointment and our plan of action right before I left to make sure we were both on the same page.  She is classy, professional and very knowledgeable.  I think I have found my primary care physician for as long as I live in this area.",101040701,Vitals
3693257,I had a great experience with Dr Heyrani last week when I saw him regarding trouble I&#39;ve been having with my wrist. He took the time to examine and discuss the problem I&#39;ve been having. I left with a treatment plan and I&#39;m on my way to healing. He&#39;s treated my friends kids as well and is awesome with them. I will be returning to his office again anytime my kids have any orthopedic needs in the future. I highly recommend this doctor!,100842641,Yelp
3807236,I appreciate the time and skill Dr. Hirata gives to me-a 72 year old woman. She answers questions and is never patronizing.She is one of the best I have ever seen.,100870906,RateMD
303555,Always efficient and the care is amazing! I feel very well cared for by my doctor.,100064677,HG
3461218,"I had Dr. Clifford performed bilateral makoplasty (partial knee replacement using a robot),  This doctor is the absolutely the best.  I got my life back and am thankful for Dr. Clifford every day.  
You will not find a better orthopaedic surgeon.",100793786,Vitals
4563712,"My wife and I have been Patients and treated like family by Dr Patel for 2 years. We have never experienced care as we do with Dr Patel. He takes the time to get to know you. His treatment is for long term health not just a prescription. Dr Patel and his staff are a special group of People.
Nick and Melissa S.",101046248,HG
4107380,"Dr.Ticoras is extremely compassionate and has strong customer service orientation skills.  An example from my last appointment is that after I had waited in the reception room and the exam room a total of  not more that 10 minutes or less, he apologized for my wait. I am satisfied with much more than that, even up to 10 minutes in each - reception room and exam room.   He indicated that my time was as important as his time, which is a very refreshing attitude for a medical provider.",100939953,HG
2126391,"Great dr, great care and great staff, recommend highly.",100485014,Vitals
4061544,"Well  I'am disappointed, I have referred her to all my family, they all love her, but tried to make an appointment today and they say since I no showed 4 years ago they don't want me to come there. She had helped my wife and I out through the passing of our sons. Oh well gonna stop the referrals.",100932889,HG
4048625,My legs look and feel so much better!,100927737,Vitals
578318,Dr Rollins has been my PCP since October 2018 and he explains everything to me.  Very courteous and professional.,100132279,HG
1353310,"Best GYN doctor in Fayetteville NC. Very caring, listens to all concerns and treats each one. Even if a second opinion is needed will send you in the right direction. You definitely deserve more than 5 🌟's, you deserve10 🌟's!!!",100310054,Vitals
4337475,"He is careful, thorough, and really tries to work with who you are and your needs. He puts you at ease with his quiet presence. Good listener.",100994825,Vitals
4189884,"We had a WONDERFUL experience with Dr. Larsen.  He was compassionate and most importantly, fixed my severe sinus problem. He answered all of my questions and made sure his office staff took good care of us.  We returned to have our kids tonsil surgery done by Dr. Larsen and had the same wonderful care.",100959831,Vitals
4071924,Excellent as always .,100934678,HG
1560937,"My mother recently had knee replacement surgery with this practice. The staff was wonderful from start to finish. Very accommodating and compassionate. She continues to have physical therapy with the practice, continuing to have the best experience in a bad situation. I wouldn&#39;t hesitate to use this practice for any orthopedic issue. They have my highest recommendation.",100357890,Yelp
144683,Dr B Took much time with us. He was clearly very concerned with our wellbeing.  Answered all our questions very clearly. He was knowledgeable in his field and gave very good advice.,100029335,HG
1054528,"Dr. Weaver has no bedside manner other than to be rude a condescending to her patients. Her staff is clearly overworked as you are rushed in and rushed out and, if you don't answer their questions quick enough they get exhasperated with you and move on to the next question without allowing you the dignity of time to respond. She should definitely not be accepting new patience as her caseload is more than she can handle already.  She and her staff were completely rude to me.",100240686,HG
2438657,"My surgeon referred me to Dr Azis due to a somewhat serious infection that needed prompt attention.  Dr. Azis has been wonderful - very conscientious and extremely caring, for which I am grateful.",100557884,HG
4950668,Do yourself a favor and take your business elsewhere.  I called for a same day appointment as I was having a very concerning issue.  The earliest I could be seen was two days later.  The office suggested I see my PCP or go to the ER.  Luckily I did get in to see my PCP.  When I called the next morning to cancel my appointment (still 24 hours away) I was charged a $50 cancellation fee!!!,101134007,HG
2672268,"I was a patient of Dr. Davis!  On my first visit , I was scared by her dogs. I told her I had cancer and she said, I don't.  I have MPN. I experienced a vaginal prolapse, and gotten a spot on my labia. I was given choices as to handle the prolapse and told, I needed a biopsy. She could have don it. But, said it required another appointment.  She handed me a mirror, while standing butt naked, and asked me to show her, what I had seen. Then her staff while paying was EXTREMELY rude.",100610007,HG
4054924,"I have been a patient of Dr. Norman Lavin&#39;s for about 10 years now. He literally saved my life!!! I have a very rare disease that was causing my health and function to seriously deteriorate over a span of about 2 years, and NO other doctors were able to figure out why--for almost 2 years, I had numerous hospital stays and even a long, horrible nursing home stay before I was referred to Dr. Lavin. He never gave up on me! He knew which scans, labs, etc. to order for me, and now I am finally being treated for the disease almost 10 years and have as much of my life back as I can. (There is no cure for the disease, but at least the treatment is helping me live my life.) I am sad to see all the negative reviews here on Yelp. I have NOT had most the experiences described here--I usually have wait times of maybe up to 10 minutes, just like I do at most my other doctors&#39; offices. If I had to choose between shorter wait times or shorter visits with the doctor, well, I think it&#39;s more important that Dr. Lavin spends the time with each patient that they need, so I don&#39;t mind waiting. And just like with other doctors, I have found that if you can educate yourself the best you can about your condition and be super proactive while you are with the doctor (write down all questions you have for the doctor and bring to your appointment, speak up, find out what your most recent labs/scans show and ask him to explain it to you, etc.), you will have a more positive experience with him. I remember only one occasion I had an appointment with Dr. Lavin when I had looked down briefly and when I looked back up, he was gone--so I went to the front desk and asked them to chase him down for me because I wasn&#39;t done with him yet, LOL--and they did, and by the time I left, I felt confident that I had gotten everything I needed from the doctor that day. Dr. Lavin really does have a heart of gold. He really does care about his patients. The nutritionist Kristine has a heart of gold, too, and she is super smart! She will spend as much time as needed getting answers for you, even after she has left for the day--she is also awesome in that she doesn&#39;t give up on you. As far as the front desk is concerned, Randi is the person to talk to (I think she&#39;s the office manager) if you have any questions, concerns, issues, etc., though you might need to wait till she&#39;s off the phone--she and the rest of the staff spend a LOT of time on the phone because they are speaking to your insurance company, your pharmacy, etc. which can be a huge time suck, but that part is not their fault. Randi has worked for Dr. Lavin a long time--she was there when I first became a patient 10 years ago, and she is very knowledgeable and she also has a heart of gold and cares about the patients. My first 5-7 years coming to Dr. Lavin&#39;s, the other front desk staff were the same, too--very helpful, kind, efficient, you know their names and they know you when they see you, but I have also noticed that only in the past few years, most of them are gone and now there are new faces, I don&#39;t know all of them, they don&#39;t know me, and it can be frustrating every once in a while. I, too, have found that sometimes it is hard to get ahold of them on the phone, but that is also true of some of my other doctors&#39; offices. But in the end, it is all offset by getting to see a doctor who is so smart he probably graduated top of his class, who is smarter than pretty much any other doctor around here, and who is smart enough to figure out how to help me when no one else could.",100931566,Yelp
1350163,"I absolutely love Dr. Fabricant. Not only is he the best doctor, he is also very kind hearted. He made me feel very comfortable throughout the entire process of intake, diagnosis, surgery and recovery. I feel lucky to have found him.",100309504,HG
24560,Very happy with his care. Resolved all issues. Very experienced and knowledgeable.,100006915,Vitals
1423290,Great dr but the wait time is ridiculous! Always at least 1 hour late!,100326037,Vitals
728924,"I have been a patient for a few years of Dr. Siegel, he is a very nice and competent doctor. However, the new office that he has moved into, is not good. My first appointment was early morning, as I approached the front desk, two of the employees were arguing loudly. I patiently waited until they were finished until they "" acknowledged"" me. I was then told to sit down and wait to be called, I felt as if I was in a factory. The waiting room was crowded, they call people in and ask for urine specimens to a bathroom that is NOT CLEAN , and has a terrible odor. The rest of the appointment was OK as Dr. Siegel is good. My second appointment was later afternoon, again, the office was crowded . I was called in to give a urine specimen, the nurse that called me in was rude, and did not look at me as she handed me the specimen cup. The bathroom was even worse this time! A commode was next to the toilet and the bathroom was dirty (again) and the odor was unbearable!!! I had a procedure done that day, and the room I was brought into was fine. Again, the nurse was not very professional. I asked to use the bathroom, it was a DISASTER!!! It is also being used as a storage room there were boxes all over the place, and not in an organized fashion. I expect more from a doctors office. Dr. Siegel, do yourself a favor and go back to your old office, this office is a factory, not a medical practice.",100163252,Vitals
2949652,"Dr. Pappart is Knowledgeable, friendly, never rushes the visit and makes sure you understand any diagnosis. The issue with this practice is the front desk. They are rude, unhelpful, appointments are made from a third party outside of building. If you hv a question for the Dr. The nurses line NEVER calls back. U need to keep calling apt line & they expedite call which again does not occur. I stay with Pappart as she is good but they MUST address the office/ staff.",100678110,HG
1331519,I can say that I have been to 5 dozen doctors in my lifetime and Dr. Cuddapah is one of the best.  I have a mulitude of health issues and Dr. Cuddapah's approach is by far the most linear and understandable.  He wants the patient to understand the process so we can communicate to him the most effective manner so he can do a better job.  There is never long wait he he is respectful of the patients time.  His staff is wonderful and there is never a disconnect within the office.,100302513,Vitals
1059520,That was great,100241633,HG
3969323,Dr. Kurtz has absolutely no bedside manners whatsoever,100910417,Vitals
3642805,I cannot recommend Dr. Jonson highly enough! He is very attentive and I felt completely comfortable and well informed while under his care. He truly is just a genuinely nice person and an excellent doctor!,100831231,HG
4837279,"Excellent doctor and a nice guy. Took a difficult problem and solved it quickly and with compassion. Always responsive and available. Staff is excellent and efficient, and kind. I've been seeing ENT physicians for 45 years, and he's the best in every respect, by far. Highly recommended.",101104317,HG
1674233,Great service. Has patience and good communication with me as a patient. Understands Spanish well.,100382380,Vitals
2246953,After going through a couple different ob's I went to Dr. Henry. I am so happy that I did. He is a wonderful doctor. He takes time to explain things and makes sure you understand him. He is a blessing!,100514212,RateMD
193931,"Dr Sorg,
Very good doctor.
She takes the time to listen to you.",100040787,HG
1475278,"she is very unprofessional in her billing practices and handles issues with patients in waiting room in front of other patients. She bills inconsistently for office visits so you must be vigilant in reviewing you bill especially if on a no-copay (high deductible) plan. Then when you ask about it she gets angry & defensive, even cutting your appointment short after you have paid for the visit. She even uses your appointment time to discuss billing instead of the reason your there, and of course wants to charge for the whole half hour visit. She causes a lot of stress & anxiety for her patients that are there to get help for depression/anxiety.",100338888,Vitals
2733857,"Dr. Karl ""abruptly"" dropped me 10 days after running out of my pain medication.  Here I am - with a pain rating of ""14"" - has been here for over a week. I have a fractured back, can't drive, have no transportation, other than cab.  Was supposed to be able to pick up Rx on a particular day.  Took cab to his office (after confirming Rx was there), got there, Rx not there, spent $50 for a cab and no pain meds. Rec'd call next day (a Friday) that Doctor was ""dropping me"" as of that day.  Doctor forgot ""he was to do no harm"" - not leaving patient in pain.....",100623610,Vitals
27278,Ignored patient's wishes perform a procedure that was not wanted and resulted in a poorly shaped breast.,100007373,Vitals
527552,"you think a doctor is a person who treats the patient fairly based on his or her medical knoweldge and experience? Well  Scott Baker is not that person. If you get injured at work , and workers compensation is sendig you to dr. Baker , he will treat you in a way that will benefit the worker's compensation interest, and not worry to much about the patient health. He dosen't care about you , you don't pay him , worker's compensation does. After i saw Baker for a while he gave me an impairment rating of 0% and at the same time an indipendent doctor gave me an impairment rating of 12%. (see the difference?)I wish there was a law that will support the health of the people and not let this corrupt doctors like Scott Baker, to take sides when treating a patient. He has no morals or ethics. Three other doctors i saw after Baker, gave total different diagnoses than Baker. Make youself a favor and find a decent doctor who has morals and will give you the treatment you deserve, because your health is the most important thing you have.",100120501,Vitals
4421252,"Dr. Little is one of, if not, the best general practitioners that have ever treated me. I have numerous medical problems, and she always takes the time to make sure that any medication she prescribes me will not adversely affect other medical problems I have, or interact negatively with other meds i take.",101012954,Vitals
472853,The care I recieved by Dr Sara was exemplary. He saved my life.,100107724,HG
4444324,He is thorough and is extremely competent. During the years he has been my practitioner he has always taken time to make sure that I've been checked out on all avenues with the up most care leaving no stones unturned. I think he is the best practitioner in the area.,101020438,Vitals
208234,"I went to Sweeney Eye Associates just to get my eyes checked and get new contacts. My appointment was at 1:30, was not called back till 2:20. Then, rushed through the exam. The tech then dilated my eyes and asked me to wait back in the waiting room. After sitting there for 25 minutes, I finally asked when I was going to get called back in. Needless to say, an appointment that should have been 45 minutes tops was 2 and a half hours long. The staff was rude and they rushed me through every part of the appointment except the sitting around and waiting part. Will not be going back to them.",100045730,Yelp
4207772,Not surprised by the 3 stars!!! He deserves 0! So rude I had to speak to him because he was an on call Dr. NOT my doctor. I will never call in an emergency to speak to him ever again.EXTREMELY unprofessional and rude!!!!,100962844,Vitals
3558356,"Dr Leonard fixed my ""shredded"" shoulder and I'm good as new!  No limitations, no pain!  He's great!",100813664,Vitals
2600128,"A robot would act more concerned and caring about your problems. A ""Do you want surgery or not"" type of attitude and during the follow-up he could have cared less that I was still in tremendous pain. His response was, ""You shouldn't be in pain everything looks good."" When I expressed that I feel the same amount of pain he walked out of the room having nothing more to do with me. I tried to ask where do I go from here as he walked out and got no response. I was lost.",100595064,Vitals
2104438,"Dr. Sasson is a wonderful doctor.  His patience and compassion is top notch.  If I am ever in need of his skills again, I would not hesitate for even a second.  I feel so lucky that the ER doctor sent me to him.  In my book he gets a 5 star rating.",100481413,Vitals
2970091,Dr. Hamilton took the time necessary to answer my questions and explain my options. I'm recovering from a recent shoulder surgery and I'm very pleased so far with the care I've received.,100681215,HG
4485838,We went over my health and talked about a plan to keep me healthy. He is never in a hurry and always listens and is very patient understanding and helpful.,101027656,HG
4244183,"Dra. Haddad is my Primary Care Physician (PCP) and I think is the best doctor from the Family Medicine Practicioner Dept. in UFHealth Jacksonville, FL. Im proud to be her patient witn my mom too. Sometimes we have to wait more time than we disire in order to be assisted by her. But Dra. Haddad have too mamy patients every day and she is very kind and busy all time in order to offer the best attention to all her patients. She always will be my best and favorite doctor. She is the best doctor from UFHealth Jacksonville, FL.",100972030,Vitals
4435200,"I was a challenging patient with a bad history  with prior anesthesia problems. He took time with me to go over past history and to explain options. He was patient, knowledgeable and has an excellent bedside manner. He followed up with me several times in recovery and at home. All went better than I could have hoped for with NO problems and awoke immediately after the surgery which was a concern as past surgeries I could not do that for a day or more.",101019017,Vitals
1645293,"I have never met Vahora  ,each time I was there I was handed off to her assistant ,the staff was ok but this office is FULLY out of control When it comes to using the answering service they forward every call it's RIDICULOUS !!!  DR Vahora is money hungry and surgery happy ....Her assistant Ms Soto is wonderful just wish she was in another office to continue to do business with her....bottom line is FIND ANOTHER GYNECOLOGIST...it's not worth It!!",100377611,HG
3210710,very compassionate. excellent listener. genuinely interested in me. uses medications carefully. the best psychiatrist-therapist i have had.,100734940,Vitals
322027,Very good specialist,100070785,Vitals
2979992,"Warm, compassionate, doctor who actually listens & hears the patients' concerns. He's wonderfully cheerful & sets you @ ease quickly. Very good staff as well! Highly recommended, doctors like him are hard to find any more.",100682826,HG
2387337,On the last visit I was just there for a blood draw for a PSA  check.  No problems.,100544887,HG
4378824,"I have been going to Dr Kaplan for 4 years now, as well as my mom... for botox and fillers. 
Just have to say, he is AAAMAAAZING!!!
Awesome doc, awesome staff... awesome results. Always!!
-RR & JG",101002090,Yelp
1187649,She is very kind and caring and she took the time to explain everything that I needed to know to make an informed decision.,100268899,Vitals
4594746,Dr. Nelson is a great dr... he is extremely educated but not intimidating at all when he is with patient. He has a great investment in his patients and you can tell that he really cares. I would recommend him highly!,101051306,Vitals
1676438,"Dr. Lionelli has excellent surgical skills. My surgical outcome was better than I ever dreamed it could be. The most outstanding part of the experience, however, was the kindness and consideration with which I was treated by Dr. Lionelli and his staff. His degree of compassion, in addition to his skill, makes him a rare physician.",100382760,Vitals
758270,"I feel blessed and assured I have top of the line care with Dr. Mark Debruin at the DeBruin  Medical Center along with his outstanding team and staff, which includes top PA JoAnn Friedrich. It is clear to me from my own medical problems the Doctor leaves no stones un-turned in assessing and addressing a medical issue. Dr. Debruin doesn't mince words; he is very direct and will make every effort to zero in on any  medical problem. I've noted he has encouraged exercise and looking to eating habits before putting me on a regime of pills for a few of my problems and has had me come back for the results of how this alternate course of action is working out. I really appreciate that Dr Debruin looks at the full scope in trying to access and target medical needs and doesn't rule out the more alternate approach and natural ways when reasonable to find solutions. When further outside investigation was needed and referral out was the route to go, Dr. Debruin lined me up with top-notch Doctors and specialists. I also appreciate the Wellness Management Program where I often  get a call back after a visit to see how I'm doing.  I could never ask for a warmer, more attentive, competent staff and team than at the office of Dr. Mark Debruin. I would recommend Dr Debruin to anyone who wants a Doctor and medical Center staff that is really committed to giving full attention to their health needs and having the peace of mind one is being directed on a course of action that targets and answers their medical needs.
 Ever thankful, Kathryn Corbett",100171858,Vitals
